sentiment,review_body,product_category
-1,This item is huge. i'm normally a medium  sized down to a small  still massive. couldn't go too much smaller because the buttons would pull at the chest. but the sleeves are very wide  as is the waist. way too much fabric. i had high hopes for this one but it just doesn't work. for reference i love billowy and flowy tops  but this was a tent.,Blouses
-1,I ordered this shirt online and didn't even try it on... it is super see through and i would need to wear a tank underneath and i don't want to have that extra layer in the summer.  it is cute though!,Blouses
-1,I wanted to love this product so badly. i ordered it in the mail  and it looked beautiful coming out of the box. i normally look really nice in grey  but this color really washed me out and was not nice on. the fabric is very sheer  so you would have to wear it over a camisole/tank top. this is one of those pieces that looks better on the hanger than in person. large in arms  small on body. odd fit.,Blouses
-1,Runs large. very boxy. white fabric on lower portion of the shirt extremely thin. it did not look as good as in in picture. very disappointing!,Blouses
-1,I just can't get past how different the blouse i got is from the photo. mine has dark colors  really dark colors.  this top fits a bit large and the neck is quite wide. i thought it flowed well and fit nicely in my regular size large. i liked the length and the fact that it's shorter than shown. it still covered my bum.  the back has a cute peplum ruffle and there are little bronze colored beads along the bottom edge in both the front and back. i would have kept it had been the blouse shown in t,Blouses
-1,The blouse is lovely - but after washing it exactly as specified  it shrank more than a full size. this is an expensive hand-me-down for my daughter...,Blouses
-1,I just returned this top. i agree with the previous reviewer. the neckline is way too deep  i ordered small and i looked ridiculous in it. also the ruffles didn't look so great on me either.,Blouses
-1,The buttons on the back are very tedious. you will need someone to help you. if you get past that hurdle  then you have the look of a little girl in a smock. way too big. like a nightgown. nice quality  but not practical.,Blouses
-1,This top is too short  so much so that tucking it in would be difficult. the designs are lovely  but the short length is putting this top back on the rack.,Blouses
0,So this is still a pretty cute shirt  but my xs is missing the ruffle in the front and has layers on the bottom front of shirt. it doesn't seem to be defective  just a different version of the shirt. i'm curious to find out from others if they have gotten the same shirt as i have. still deciding whether to keep or not. no more left in xs to place another order and see what's up. i do wish it had the ruffle in front  as that is what caught my eye.,Blouses
0,According to the sizing chart i should be an 8 or 10. i ordered a 10  but i could not get the blouse zipped up around the ribcage  the one spot i don't keep any fat. i brought it to the store to exchange for a 12  but i couldn't breath with the 12 on. for reference i am 34ddd. it was the 34 part that didn't fit  the ddd would have fit fine  i think.,Blouses
0,Saw this tunic on line and when it was immediately sold out i thought it had to be a winner. after several days of trolling on line the 2p was finally back in stock. now comes the disappointment. yes  the material is sheer but would be a nice weight for humid summer days. the front looked exactly like the model. cut with high side slits that truly made this a tunic. the back of this tunic is some sort of origami design. the fabric bunches out at the butt area. it's bad when you're standing and i,Blouses
0,I bought this tank for work  but the color of the print is slightly muted compared to the photo. i usually wear a xxs or xs (i am 100 lbs  5'1) and i got the xs thinking it will be loose  which i wanted. the arm holes were down to my waist  and it was also unusually wide. the quality of the fabric is nice though  not to heavy and not too thin.,Blouses
0,This shirt is really pretty but the sleeves are so small. i normally wear between a 4 to a 6 or a size medium and i could not get this shirt on. i wish it fit but a size large would have been way to long and loose.,Blouses
0,The color of this top is lovely. however  i felt the quality was lacking for the price. the fabric is thin and the top i tried on in the store had some loose threads already. fit was tts for me.,Blouses
0,Pretty color  great details  awesome stitching.. aaaaannnnnnd it actually not only goes out a line but ballooned out above the hem and then came back in - just too much fabric down below. nice at neck  arms and chest but disastrous anywhere below that.,Blouses
0,I wish this fit more to the body  it really does flare out a lot a adding volume to the person wearing it. the mustard color is beautiful  so is the pink (i ordered both to compare). but the 00 was still big on me (and p). so i passed.  fabric is light for summer  so if you are thin  not muscular  perhaps that would look great?,Blouses
0,I wanted to love this top- the pink color is wonderful and vibrant. however  like many tops lately  it is short waisted and ended up looking a bit boxy. i am 5'8 and found it about 1-2 inches too short.,Blouses
1,Beautiful airy well made blouse. very flattering and feminine. i normally wear a size 8 and ordered a 10 per the other reviews and i am glad i did! the fit id perfect.,Blouses
1,This is a gorgeous buttondown. the colors are stunning - i love the mix of blue and brown. the fabric is super soft and drapes just right. i feel the this shirt runs true to size. i'm an xxs petite and it fit perfect. this one is a winner!,Blouses
